Company,Quarter,Revenue,Cost of Goods Sold,Operating Expenses,Net Income
Company 71,Q2,4535,1693,2529,2551
Company 71,Q3,2688,3722,2167,200
Company 71,Q4,6479,4513,2672,138
Company 72,Q1,5077,849,2938,-921
Company 72,Q2,9218,2403,1318,-695
Company 72,Q3,4970,2350,310,-489
Company 72,Q4,5487,1007,2313,2399
Company 73,Q1,3264,4185,2598,204
Company 73,Q2,3456,3186,1944,1214
Company 73,Q3,7302,2261,642,792
Company 73,Q4,1760,1291,1637,2786
Company 74,Q1,6840,3058,2638,2093
Company 74,Q2,5933,3420,981,1372
Company 74,Q3,6512,4850,1796,-106
Company 74,Q4,3139,2138,2043,-34
Company 75,Q1,6297,1616,2940,2976
Company 75,Q2,6636,1547,1482,2374
Company 75,Q3,2344,1598,2849,556
Company 75,Q4,4942,2776,1083,-880
Company 76,Q1,6162,1339,1129,-913
Company 76,Q2,7132,1408,1141,1745
Company 76,Q3,7631,4964,2407,2832
Company 76,Q4,7780,937,2889,-127
Company 77,Q1,2519,1964,2210,627
Company 77,Q2,3300,4200,282,2992
Company 77,Q3,1236,1105,1797,2809
Company 77,Q4,5980,4240,1820,320
Company 78,Q1,6246,1034,2769,2570
Company 78,Q2,8333,693,1224,2671
Company 78,Q3,8764,4893,1325,-249
Company 78,Q4,8914,4803,1315,133
Company 79,Q1,7056,4949,415,169
Company 79,Q2,4068,4820,1561,1242
Company 79,Q3,7609,2153,1322,2629
Company 79,Q4,5091,3463,1628,2079
Company 80,Q1,4179,1535,1597,-463
Company 80,Q2,2733,1998,1894,1548
Company 80,Q3,2461,2920,2425,-617
Company 80,Q4,2943,3441,1255,-694
Company 81,Q1,9194,3229,490,594
Company 81,Q2,6155,1662,806,-80
Company 81,Q3,7091,850,2169,1442
Company 81,Q4,4733,3032,1353,-426
Company 82,Q1,6182,3202,443,-460
Company 82,Q2,5723,4479,2238,1573
Company 82,Q3,3024,595,976,2410
Company 82,Q4,9158,1782,1055,1163
Company 83,Q1,9614,1803,2447,1322
Company 83,Q2,9007,1252,1194,-173
Company 83,Q3,5073,3880,2606,2340
Company 83,Q4,8067,2532,1208,-132
Company 84,Q1,8775,907,2642,-76
Company 84,Q2,5474,2935,1606,-648
Company 84,Q3,2828,3574,1112,-904
Company 84,Q4,8894,4591,2210,-116
Company 85,Q1,8109,3866,735,2994
Company 85,Q2,5865,1289,499,1357
Company 85,Q3,7665,1218,2380,785
Company 85,Q4,2697,3603,1100,1493
Company 86,Q1,5793,1087,2118,77
Company 86,Q2,7628,4039,2244,244
Company 86,Q3,6855,2690,1478,130
Company 86,Q4,7286,780,1041,1426
Company 87,Q1,7589,3082,2219,-931
Company 87,Q2,2500,4874,1795,99
Company 87,Q3,9358,3275,2025,575
Company 87,Q4,3728,2287,694,1097
Company 88,Q1,4758,1621,2691,616
Company 88,Q2,8665,3731,565,-521
Company 88,Q3,8638,1410,2821,747
Company 88,Q4,8923,4657,1196,1605
Company 89,Q1,5621,4970,1198,2414
Company 89,Q2,8093,3525,1284,2478
Company 89,Q3,2923,2895,1517,2807
Company 89,Q4,6926,1079,2210,-151
Company 90,Q1,8344,3256,2117,2307
Company 90,Q2,2323,3340,878,1950
Company 90,Q3,7420,2494,2137,1988
Company 90,Q4,9442,4604,2520,-293
Company 91,Q1,9259,1614,2359,-774
Company 91,Q2,3013,1617,1592,2209
Company 91,Q3,6961,3176,2387,-825
Company 91,Q4,7204,4537,1933,2089
Company 92,Q1,6892,3068,938,2503
Company 92,Q2,5628,2264,1620,-451
Company 92,Q3,5481,3794,2627,2263
Company 92,Q4,6711,1574,603,-525
Company 93,Q1,2136,2267,1025,2435
Company 93,Q2,2510,4511,1878,1123
Company 93,Q3,9941,2747,437,1938
Company 93,Q4,8957,3886,1038,157
Company 94,Q1,9408,3951,936,974
Company 94,Q2,6252,510,403,269
Company 94,Q3,5158,2308,483,-219
Company 94,Q4,8037,1569,295,1439
Company 95,Q1,8240,606,1015,889
Company 95,Q2,4598,3052,2093,-986
Company 95,Q3,2814,2854,2863,-835
Company 95,Q4,8928,3791,1597,2136
Company 96,Q1,5887,1521,1289,-306
Company 96,Q2,7193,3658,2132,230
Company 96,Q3,6382,3846,2820,16
Company 96,Q4,3273,4354,1575,1080
Company 97,Q1,4830,2348,2120,2532
Company 97,Q2,8875,1728,1982,609
Company 97,Q3,2232,2253,2043,-322
Company 97,Q4,1234,827,2519,1203
Company 98,Q1,9328,4383,2037,314
Company 98,Q2,4371,2022,1909,-254
Company 98,Q3,9062,4838,2516,-828
Company 98,Q4,6796,3456,2444,-482
Company 99,Q1,3187,4910,1505,1487
Company 99,Q2,3670,3423,2614,-202
Company 99,Q3,3395,1369,2891,2185
Company 99,Q4,8266,3011,1786,935
Company 100,Q1,6067,4741,2953,-1000
Company 100,Q2,1253,755,2385,874
Company 100,Q3,2016,1101,2321,-482
Company 100,Q4,3074,711,2901,-973
